frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomalies
0,0.0,,,0.159,
1,33.3,,,0.181,
2,66.7,,,0.091,
3,100.0,-75.150,4.005,0.333,DIAMETER_LOW
4,133.3,-74.550,5.000,0.227,DIAMETER_LOW
5,166.7,-74.550,5.000,0.227,DIAMETER_LOW
6,200.0,,,0.178,
7,233.3,-62.800,4.367,0.284,DIAMETER_LOW
8,266.7,-70.450,4.107,0.311,DIAMETER_LOW
9,300.0,-70.450,4.170,0.311,DIAMETER_LOW
10,333.3,,,0.195,
11,366.7,-73.900,4.916,0.284,DIAMETER_LOW
12,400.0,-58.100,5.000,0.212,DIAMETER_LOW
13,433.3,-65.950,4.151,0.267,DIAMETER_LOW
14,466.7,,,0.134,
15,500.0,,,0.160,
16,533.3,,,0.091,
17,566.7,,,0.111,
18,600.0,,,0.111,
19,633.3,,,0.178,
20,666.7,,,0.070,
21,700.0,,,0.103,
22,733.3,,,0.147,
23,766.7,,,0.125,
24,800.0,,,0.153,
25,833.3,,,0.127,
26,866.7,,,0.080,
27,900.0,,,0.080,
28,933.3,,,0.167,
29,966.7,,,0.136,
30,1000.0,,,0.098,
31,1033.3,-42.700,0.765,0.268,DIAMETER_LOW
32,1066.7,,,0.162,
33,1100.0,,,0.124,
34,1133.3,-42.150,1.029,0.329,DIAMETER_LOW
35,1166.7,,,0.098,
36,1200.0,,,0.088,
37,1233.3,,,0.060,
38,1266.7,,,0.137,
39,1300.0,,,0.181,
40,1333.3,,,0.115,
41,1366.7,,,0.122,
42,1400.0,-43.150,1.026,0.280,DIAMETER_LOW
43,1433.3,-41.800,1.938,0.319,DIAMETER_LOW
44,1466.7,-43.650,1.305,0.260,DIAMETER_LOW
45,1500.0,,,0.084,
46,1533.3,-44.400,1.644,0.261,DIAMETER_LOW
47,1566.7,,,0.144,
48,1600.0,-42.000,2.044,0.325,DIAMETER_LOW
49,1633.3,,,0.110,
50,1666.7,-42.600,1.661,0.294,DIAMETER_LOW
51,1700.0,,,0.117,
52,1733.3,,,0.192,
53,1766.7,-67.750,4.660,0.223,DIAMETER_LOW
54,1800.0,-78.250,4.572,0.245,DIAMETER_LOW
55,1833.3,-61.900,5.000,0.291,DIAMETER_LOW
56,1866.7,-79.000,4.080,0.222,DIAMETER_LOW
57,1900.0,-58.850,5.000,0.264,DIAMETER_LOW
58,1933.3,-75.600,5.000,0.338,DIAMETER_LOW
59,1966.7,-44.150,1.145,0.286,DIAMETER_LOW
60,2000.0,,,0.155,
61,2033.3,,,0.184,
62,2066.7,-72.450,1.613,0.220,DIAMETER_LOW
63,2100.0,,,0.136,
64,2133.3,-77.200,5.000,0.291,DIAMETER_LOW
65,2166.7,-57.750,5.000,0.286,DIAMETER_LOW
66,2200.0,-68.450,2.603,0.248,DIAMETER_LOW
67,2233.3,-69.800,5.000,0.531,DIAMETER_LOW
68,2266.7,-68.100,1.645,0.594,DIAMETER_LOW
69,2300.0,-67.350,1.063,0.305,DIAMETER_LOW
70,2333.3,-68.750,1.607,0.595,DIAMETER_LOW
71,2366.7,-68.500,1.474,0.597,DIAMETER_LOW
72,2400.0,-73.500,1.760,0.419,DIAMETER_LOW
73,2433.3,-75.850,1.179,0.336,DIAMETER_LOW
74,2466.7,-71.600,1.895,0.466,DIAMETER_LOW
75,2500.0,-67.350,1.185,0.595,DIAMETER_LOW
76,2533.3,-67.350,0.164,0.595,DIAMETER_LOW
77,2566.7,-71.500,1.640,0.463,DIAMETER_LOW
78,2600.0,-71.550,1.408,0.461,DIAMETER_LOW
79,2633.3,-67.100,3.971,0.594,DIAMETER_LOW
80,2666.7,-62.000,1.804,0.434,DIAMETER_LOW
81,2700.0,-75.400,0.118,0.334,DIAMETER_LOW
82,2733.3,,,0.103,
83,2766.7,-67.300,5.000,0.594,DIAMETER_LOW
84,2800.0,-69.950,3.994,0.402,DIAMETER_LOW
85,2833.3,,,0.191,
86,2866.7,-71.100,4.318,0.475,DIAMETER_LOW
87,2900.0,-66.500,5.000,0.594,DIAMETER_LOW
88,2933.3,,,0.075,
89,2966.7,,,0.114,
90,3000.0,-57.400,2.151,0.313,DIAMETER_LOW
91,3033.3,-64.550,1.225,0.330,DIAMETER_LOW
92,3066.7,-67.500,0.118,0.594,DIAMETER_LOW
93,3100.0,-67.800,0.219,0.594,DIAMETER_LOW
94,3133.3,-60.900,0.448,0.381,DIAMETER_LOW
95,3166.7,-69.000,0.539,0.316,DIAMETER_LOW
96,3200.0,,,0.116,
97,3233.3,-75.100,4.074,0.369,DIAMETER_LOW
98,3266.7,-71.900,2.359,0.457,DIAMETER_LOW
99,3300.0,-67.450,1.781,0.593,DIAMETER_LOW
100,3333.3,-67.550,0.197,0.593,DIAMETER_LOW
101,3366.7,-67.450,1.741,0.593,DIAMETER_LOW
102,3400.0,-78.000,1.017,0.263,DIAMETER_LOW
103,3433.3,-75.050,4.984,0.355,DIAMETER_LOW
104,3466.7,-69.800,5.000,0.328,DIAMETER_LOW
105,3500.0,-56.750,4.612,0.239,DIAMETER_LOW
106,3533.3,,,0.192,
107,3566.7,-67.850,1.376,0.227,DIAMETER_LOW
108,3600.0,-73.250,1.186,0.258,DIAMETER_LOW
109,3633.3,-67.300,3.971,0.419,DIAMETER_LOW
110,3666.7,-70.350,1.207,0.292,DIAMETER_LOW
111,3700.0,-76.700,0.172,0.338,DIAMETER_LOW
112,3733.3,-70.600,2.039,0.256,DIAMETER_LOW
113,3766.7,-72.000,1.697,0.259,DIAMETER_LOW
114,3800.0,-77.800,4.148,0.297,DIAMETER_LOW
115,3833.3,-79.050,1.310,0.261,DIAMETER_LOW
116,3866.7,-68.300,2.433,0.450,DIAMETER_LOW
117,3900.0,-65.950,3.645,0.470,DIAMETER_LOW
118,3933.3,-71.050,3.712,0.492,DIAMETER_LOW
119,3966.7,-70.050,0.272,0.308,DIAMETER_LOW
120,4000.0,-75.050,4.200,0.330,DIAMETER_LOW
121,4033.3,,,0.152,
122,4066.7,-75.150,4.097,0.333,DIAMETER_LOW
123,4100.0,-78.000,4.236,0.244,DIAMETER_LOW
124,4133.3,,,0.150,
125,4166.7,-74.150,5.000,0.214,DIAMETER_LOW
126,4200.0,-53.750,4.633,0.211,DIAMETER_LOW
127,4233.3,-70.550,4.313,0.311,DIAMETER_LOW
128,4266.7,-74.800,5.000,0.316,DIAMETER_LOW
129,4300.0,-78.400,3.670,0.231,DIAMETER_LOW
130,4333.3,-54.650,5.000,0.248,DIAMETER_LOW
131,4366.7,-68.600,0.358,0.247,DIAMETER_LOW
132,4400.0,-67.000,5.000,0.266,DIAMETER_LOW
133,4433.3,-73.150,2.413,0.423,DIAMETER_LOW
134,4466.7,,,0.134,
135,4500.0,,,0.115,
136,4533.3,,,0.092,
137,4566.7,,,0.105,
138,4600.0,,,0.105,
139,4633.3,,,0.092,
140,4666.7,,,0.153,
141,4700.0,,,0.116,
142,4733.3,-44.450,1.175,0.266,DIAMETER_LOW
143,4766.7,,,0.131,
144,4800.0,,,0.155,
145,4833.3,,,0.116,
146,4866.7,,,0.087,
147,4900.0,,,0.087,
148,4933.3,,,0.170,
149,4966.7,,,0.141,
150,5000.0,,,0.047,
151,5033.3,-42.450,2.204,0.339,DIAMETER_LOW
152,5066.7,-44.150,1.388,0.244,DIAMETER_LOW
153,5100.0,,,0.117,
154,5133.3,,,0.060,
155,5166.7,-42.150,2.620,0.330,DIAMETER_LOW
156,5200.0,-43.300,1.648,0.281,DIAMETER_LOW
157,5233.3,,,0.144,
158,5266.7,,,0.064,
159,5300.0,-44.000,1.483,0.278,DIAMETER_LOW
160,5333.3,-43.800,1.285,0.249,DIAMETER_LOW
161,5366.7,,,0.093,
162,5400.0,-45.050,1.433,0.214,DIAMETER_LOW
163,5433.3,-44.550,1.039,0.250,DIAMETER_LOW
164,5466.7,-44.450,1.383,0.257,DIAMETER_LOW
165,5500.0,-44.550,1.441,0.260,DIAMETER_LOW
166,5533.3,-44.800,1.094,0.245,DIAMETER_LOW
167,5566.7,-44.150,1.597,0.283,DIAMETER_LOW
168,5600.0,,,0.162,
169,5633.3,-45.400,1.009,0.222,DIAMETER_LOW
170,5666.7,,,0.134,
171,5700.0,,,0.117,
172,5733.3,,,0.186,
173,5766.7,-75.400,3.015,0.328,DIAMETER_LOW
174,5800.0,-78.400,4.409,0.241,DIAMETER_LOW
175,5833.3,-61.050,3.547,0.264,DIAMETER_LOW
176,5866.7,,,0.195,
177,5900.0,-60.050,1.046,0.230,DIAMETER_LOW
178,5933.3,-75.600,5.000,0.338,DIAMETER_LOW
179,5966.7,,,0.088,
180,6000.0,,,0.150,
181,6033.3,-76.250,4.231,0.339,DIAMETER_LOW
182,6066.7,-76.200,4.021,0.338,DIAMETER_LOW
183,6100.0,,,0.158,
184,6133.3,-74.450,0.173,0.298,DIAMETER_LOW
185,6166.7,-58.000,5.000,0.291,DIAMETER_LOW
186,6200.0,-70.200,3.459,0.291,DIAMETER_LOW
187,6233.3,-64.400,4.125,0.378,DIAMETER_LOW
188,6266.7,-68.100,1.620,0.594,DIAMETER_LOW
189,6300.0,-66.550,2.484,0.302,DIAMETER_LOW
190,6333.3,-68.750,1.611,0.595,DIAMETER_LOW
191,6366.7,-68.500,1.489,0.597,DIAMETER_LOW
192,6400.0,-71.550,1.812,0.483,DIAMETER_LOW
193,6433.3,-75.900,1.217,0.334,DIAMETER_LOW
194,6466.7,-71.550,1.949,0.467,DIAMETER_LOW
195,6500.0,-67.350,0.118,0.595,DIAMETER_LOW
196,6533.3,-67.350,0.162,0.595,DIAMETER_LOW
197,6566.7,-71.500,1.647,0.459,DIAMETER_LOW
198,6600.0,-71.500,1.645,0.459,DIAMETER_LOW
199,6633.3,-67.100,3.946,0.594,DIAMETER_LOW
200,6666.7,-62.000,1.803,0.434,DIAMETER_LOW
201,6700.0,-75.400,0.118,0.334,DIAMETER_LOW
202,6733.3,,,0.061,
203,6766.7,-64.300,4.174,0.497,DIAMETER_LOW
204,6800.0,-58.800,1.950,0.312,DIAMETER_LOW
205,6833.3,-67.400,0.554,0.291,DIAMETER_LOW
206,6866.7,-65.650,1.987,0.389,DIAMETER_LOW
207,6900.0,-74.850,1.822,0.333,DIAMETER_LOW
208,6933.3,,,0.067,
209,6966.7,,,0.165,
210,7000.0,-68.450,0.550,0.286,DIAMETER_LOW
211,7033.3,-63.050,0.118,0.323,DIAMETER_LOW
212,7066.7,-67.500,0.118,0.594,DIAMETER_LOW
213,7100.0,-67.800,0.213,0.594,DIAMETER_LOW
214,7133.3,-67.100,0.186,0.419,DIAMETER_LOW
215,7166.7,-76.050,2.613,0.342,DIAMETER_LOW
216,7200.0,-63.850,2.385,0.408,DIAMETER_LOW
217,7233.3,-75.300,4.061,0.363,DIAMETER_LOW
218,7266.7,-55.450,2.012,0.214,DIAMETER_LOW
219,7300.0,-55.000,1.942,0.203,DIAMETER_LOW
220,7333.3,-72.300,0.340,0.447,DIAMETER_LOW
221,7366.7,,,0.130,
222,7400.0,-78.050,1.024,0.261,DIAMETER_LOW
223,7433.3,-61.050,2.275,0.230,DIAMETER_LOW
224,7466.7,-70.250,0.830,0.517,DIAMETER_LOW
225,7500.0,-67.900,1.843,0.478,DIAMETER_LOW
226,7533.3,-67.050,4.288,0.352,DIAMETER_LOW
227,7566.7,,,0.159,
228,7600.0,-61.900,4.873,0.253,DIAMETER_LOW
229,7633.3,-80.650,4.928,0.202,DIAMETER_LOW
230,7666.7,-73.950,1.537,0.411,DIAMETER_LOW
231,7700.0,,,0.186,
232,7733.3,-73.750,2.141,0.436,DIAMETER_LOW
233,7766.7,-72.350,0.599,0.473,DIAMETER_LOW
234,7800.0,-77.800,3.921,0.297,DIAMETER_LOW
235,7833.3,-76.300,1.752,0.347,DIAMETER_LOW
236,7866.7,-72.000,0.917,0.294,DIAMETER_LOW
237,7900.0,-73.650,1.819,0.417,DIAMETER_LOW
238,7933.3,-73.650,1.367,0.414,DIAMETER_LOW
239,7966.7,-67.950,2.658,0.592,DIAMETER_LOW
240,8000.0,-75.200,4.507,0.334,DIAMETER_LOW
241,8033.3,,,0.178,
242,8066.7,-73.200,4.121,0.394,DIAMETER_LOW
243,8100.0,,,0.136,
244,8133.3,-74.600,5.000,0.228,DIAMETER_LOW
245,8166.7,-74.600,5.000,0.228,DIAMETER_LOW
246,8200.0,,,0.177,
247,8233.3,-62.400,4.173,0.272,DIAMETER_LOW
248,8266.7,-70.450,4.126,0.311,DIAMETER_LOW
249,8300.0,-70.450,4.123,0.311,DIAMETER_LOW
250,8333.3,-78.200,4.137,0.231,DIAMETER_LOW
251,8366.7,-78.500,4.270,0.238,DIAMETER_LOW
252,8400.0,,,0.191,
253,8433.3,-72.700,0.735,0.438,DIAMETER_LOW
254,8466.7,,,0.158,
255,8500.0,,,0.112,
256,8533.3,,,0.081,
257,8566.7,,,0.109,
258,8600.0,,,0.116,
259,8633.3,,,0.178,
260,8666.7,,,0.117,
261,8700.0,,,0.109,
262,8733.3,,,0.077,
263,8766.7,,,0.113,
264,8800.0,,,0.133,
265,8833.3,,,0.128,
266,8866.7,,,0.081,
267,8900.0,,,0.084,
268,8933.3,,,0.150,
269,8966.7,,,0.084,
270,9000.0,,,0.094,
271,9033.3,,,0.104,
272,9066.7,,,0.102,
273,9100.0,,,0.155,
274,9133.3,-42.100,0.743,0.327,DIAMETER_LOW
275,9166.7,-46.150,0.835,0.200,DIAMETER_LOW
276,9200.0,,,0.182,
277,9233.3,-43.050,1.639,0.296,DIAMETER_LOW
278,9266.7,-44.550,1.378,0.214,DIAMETER_LOW
279,9300.0,-39.850,2.412,0.254,DIAMETER_LOW
280,9333.3,-41.650,1.885,0.266,DIAMETER_LOW
281,9366.7,-41.900,2.735,0.322,DIAMETER_LOW
282,9400.0,,,0.120,
283,9433.3,,,0.185,
284,9466.7,-42.050,2.085,0.327,DIAMETER_LOW
285,9500.0,,,0.182,
286,9533.3,-42.150,2.186,0.327,DIAMETER_LOW
287,9566.7,,,0.120,
288,9600.0,-44.100,1.241,0.252,DIAMETER_LOW
289,9633.3,,,0.161,
290,9666.7,,,0.139,
291,9700.0,,,0.179,
292,9733.3,-72.850,3.137,0.248,DIAMETER_LOW
293,9766.7,-73.050,4.650,0.255,DIAMETER_LOW
294,9800.0,-68.450,0.521,0.248,DIAMETER_LOW
295,9833.3,-60.650,1.795,0.258,DIAMETER_LOW
296,9866.7,-72.900,4.381,0.266,DIAMETER_LOW
297,9900.0,-58.950,5.000,0.261,DIAMETER_LOW
298,9933.3,-75.600,5.000,0.338,DIAMETER_LOW
299,9966.7,-43.400,1.531,0.281,DIAMETER_LOW
300,10000.0,,,0.138,
301,10033.3,,,0.156,
302,10066.7,-76.200,3.929,0.338,DIAMETER_LOW
303,10100.0,,,0.138,
304,10133.3,-74.500,0.134,0.300,DIAMETER_LOW
305,10166.7,-58.800,5.000,0.316,DIAMETER_LOW
306,10200.0,-70.750,4.071,0.314,DIAMETER_LOW
307,10233.3,-64.950,2.131,0.380,DIAMETER_LOW
308,10266.7,-72.500,1.155,0.456,DIAMETER_LOW
309,10300.0,-66.850,1.484,0.320,DIAMETER_LOW
310,10333.3,-66.700,2.222,0.531,DIAMETER_LOW
311,10366.7,-68.500,1.537,0.597,DIAMETER_LOW
312,10400.0,-73.550,2.129,0.420,DIAMETER_LOW
313,10433.3,-75.850,1.271,0.336,DIAMETER_LOW
314,10466.7,-71.600,1.981,0.466,DIAMETER_LOW
315,10500.0,-67.350,0.649,0.595,DIAMETER_LOW
316,10533.3,-67.350,0.137,0.595,DIAMETER_LOW
317,10566.7,-70.850,0.118,0.483,DIAMETER_LOW
318,10600.0,-70.850,0.118,0.483,DIAMETER_LOW
319,10633.3,-67.100,4.037,0.594,DIAMETER_LOW
320,10666.7,,,0.059,
321,10700.0,-57.850,4.267,0.305,DIAMETER_LOW
322,10733.3,,,0.050,
323,10766.7,-67.350,5.000,0.592,DIAMETER_LOW
324,10800.0,-71.550,3.796,0.477,DIAMETER_LOW
325,10833.3,-60.500,2.564,0.369,DIAMETER_LOW
326,10866.7,-56.900,1.240,0.269,DIAMETER_LOW
327,10900.0,-70.000,1.811,0.484,DIAMETER_LOW
328,10933.3,-70.550,1.675,0.464,DIAMETER_LOW
329,10966.7,-40.450,3.454,0.262,DIAMETER_LOW
330,11000.0,-57.550,4.919,0.317,DIAMETER_LOW
331,11033.3,-75.000,4.211,0.334,DIAMETER_LOW
332,11066.7,-75.700,4.556,0.338,DIAMETER_LOW
333,11100.0,-67.800,0.207,0.594,DIAMETER_LOW
334,11133.3,-58.850,2.316,0.317,DIAMETER_LOW
335,11166.7,-63.200,1.777,0.447,DIAMETER_LOW
336,11200.0,-76.200,4.406,0.344,DIAMETER_LOW
337,11233.3,-62.300,4.283,0.306,DIAMETER_LOW
338,11266.7,,,0.149,
339,11300.0,-70.300,2.156,0.507,DIAMETER_LOW
340,11333.3,,,0.058,
341,11366.7,-70.500,1.419,0.497,DIAMETER_LOW
342,11400.0,-78.000,0.982,0.263,DIAMETER_LOW
343,11433.3,-67.750,2.388,0.239,DIAMETER_LOW
344,11466.7,,,0.183,
345,11500.0,-66.100,2.194,0.531,DIAMETER_LOW
346,11533.3,-58.550,1.808,0.298,DIAMETER_LOW
347,11566.7,-73.100,1.536,0.435,DIAMETER_LOW
348,11600.0,-70.050,2.261,0.258,DIAMETER_LOW
349,11633.3,-67.200,3.811,0.416,DIAMETER_LOW
350,11666.7,-73.950,1.482,0.411,DIAMETER_LOW
351,11700.0,-73.450,1.066,0.436,DIAMETER_LOW
352,11733.3,-67.700,3.729,0.250,DIAMETER_LOW
353,11766.7,-74.350,1.491,0.411,DIAMETER_LOW
354,11800.0,-63.750,4.786,0.445,DIAMETER_LOW
355,11833.3,-68.150,3.024,0.352,DIAMETER_LOW
356,11866.7,-74.150,1.525,0.408,DIAMETER_LOW
357,11900.0,-70.400,0.780,0.516,DIAMETER_LOW
358,11933.3,-71.050,3.709,0.492,DIAMETER_LOW
359,11966.7,-67.950,1.706,0.364,DIAMETER_LOW
